community_area,year,total_reqs,avg_resol_time,median_resol_time,perc_resol_less_than_1,perc_resol_1_min_1_hr,perc_resol_1_hr_12_hr,perc_resol_12_24_hr,perc_resol_1_3_day,perc_resol_3_7_day,perc_resol_7_14_day,perc_resol_14_30_day,perc_resol_1_3_month,perc_resol_3_12_month,perc_resol_1_year_plus,perc_resol_unresolved
67,2020,20101,33117.47342921205,2594.55,0.32540669618426943,0.04935077856823043,0.03865479329386598,0.0434306750907915,0.08651310880055718,0.0870603452564549,0.09352768518979156,0.09904979851748669,0.10253221232774488,0.05646485249490075,0.00905427590667131,0.008954778369235361
67,2021,16113,28501.086586052963,7143.616666666667,0.15819524607459814,0.052628312542667414,0.06131694904735307,0.05238006578539068,0.0964438652020108,0.10655992056103768,0.0964438652020108,0.13262583007509465,0.14634146341463414,0.051511202134922114,0.0001861850679575498,0.04536709489232297
68,2019,17164,35710.973103562326,1424.9333333333334,0.3753204381263109,0.0586110463761361,0.033616872523887203,0.03256816592868795,0.07212770915870427,0.08104171521789792,0.07754602656723375,0.10114192495921696,0.09846189699370776,0.05651363318573759,0.011244465159636449,0.0018061058028431601
68,2020,16678,29089.99763417438,1005.2333333333333,0.39225326777791103,0.05444297877443339,0.0405324379421993,0.03249790142702962,0.07536874925050965,0.07303033936922892,0.08166446816165007,0.09425590598393092,0.0926969660630771,0.045688931526561935,0.00851421033697086,0.009053843386497182
68,2021,12799,28630.673949533884,7269.9,0.15321509492929136,0.045237909211657164,0.06898976482537698,0.05555121493866708,0.09219470271114931,0.10797718571763419,0.1058676459098367,0.13516680990702398,0.13219782795530902,0.056176263770607075,7.813110399249941e-05,0.047347449019454646
69,2019,14268,60516.44410673617,9337.483333333334,0.1223717409587889,0.0524950939164564,0.054878048780487805,0.049130922343706196,0.11199887860947574,0.12167087188113261,0.102116624614522,0.1204793944491169,0.1312026913372582,0.10751331651247548,0.021166246145220072,0.004976170451359686
69,2020,14549,44994.515528438125,8724.15,0.11574678672073682,0.07134510962952781,0.06605264966664376,0.04825073888239741,0.10062547254106811,0.10804866313836002,0.10887346209361468,0.13987215616193552,0.1406969551171902,0.06110385593511582,0.016633445597635577,0.02275070451577428
69,2021,12578,31850.301435304198,9251.400000000001,0.034107171251391316,0.06455716330100175,0.09500715535061217,0.058594371124185085,0.11679122276991573,0.10804579424391796,0.10295754491970106,0.1511369057083797,0.1325329941167117,0.06360311655271109,0.0004770233741453331,0.07218953728732708
7,2019,14254,81496.67536896215,7050.433333333333,0.08488845236424863,0.05338852251999439,0.04644310369019223,0.07646976287357934,0.16325242037322857,0.1119685702259015,0.06089518731584117,0.077522099059913,0.13575136803704224,0.13960993405359898,0.03697207801318928,0.012838501473270661
7,2020,12255,56168.53191184251,4061.55,0.12060383516931865,0.05695634434924521,0.06740106079151367,0.10346797225622195,0.15642594859241127,0.10697674418604651,0.08600571195430437,0.07980416156670747,0.09024887800897592,0.07858017135862913,0.030354957160342717,0.02317421460628315
