,cca_name,cca_num,percent_unemployed,LTM_income_sub_10k,LTM_income_10-15k,LTM_income_15_20k,LTM_income_20_25k,LTM_income_25_30k,LTM_income_30_35k,LTM_income_35_40k,LTM_income_40_45k,LTM_income_45_50k,LTM_income_50_60k,LTM_income_60_75k,LTM_income_75_100k,LTM_income_100_125k,LTM_income_125_150k,LTM_income_150_200k,LTM_income_200k+,below_0.50_poverty_line,0.50_1.00_poverty_line,1.00_1.25_poverty_line,1.25_1.50_poverty_line,1.50_1.85_poverty_line,1.85_2.00_poverty_line,2.00+_poverty_line,White,Black_or_African_American,American_Indian_or_Alaska_Native,Asian,Native_Hawaiian_or_Other_Pacific_Islander,some_other_race_alone,two_or_more_races
55,Garfield Ridge,56,11.396898208824814,3.8046187074264823,4.710084731683003,4.743312842664895,4.585479315500914,5.6570858946668885,5.7401561721216146,4.103671706263499,4.54394417677355,3.754776540953647,7.800299052998836,9.951819239076258,12.834357866755274,10.932048513042034,6.811762751287589,6.745306529323808,3.2812759594617047,3.999094331078595,3.5773922395494298,6.31138029604053,2.7000254719384142,5.629298389607449,2.179265842130586,75.60354342965499,74.71654692411316,4.285473731477324,0.030871127076784913,1.3499101930848676,0.0,17.42815446789403,2.1890435563538393
56,Archer Heights,57,11.921331316187594,5.981794538361508,3.8491547464239275,4.109232769830949,9.232769830949286,6.918075422626788,7.906371911573472,7.360208062418725,6.840052015604682,3.2509752925877766,11.28738621586476,10.949284785435632,8.270481144343304,7.0481144343303,4.031209362808843,2.418725617685306,0.5461638491547465,5.3602479776215315,10.954865048763892,6.705980192031451,4.059877523247902,13.54804566417177,4.090118696605429,55.280864897558025,59.61032122169563,1.0005265929436546,0.6394342887233883,2.986534266155119,0.045136538027533285,33.43112916572632,2.286917926728353
57,Brighton Park,58,13.223501968216942,7.43142144638404,6.184538653366584,7.605985037406484,8.204488778054863,10.82294264339152,8.154613466334165,7.406483790523691,7.805486284289278,5.095594347464671,7.896924355777224,8.437240232751455,7.788861180382376,3.657522859517872,1.596009975062344,0.7813798836242727,1.1305070656691605,8.91149959027588,18.8154420467996,11.458617863971593,9.191477738322863,9.77647273058363,4.4887553491759995,37.357734680870436,57.924980770100895,2.2170942491289987,1.1108094656350391,6.732727025926429,0.0,30.629835754038282,1.3845527351703544
58,Mckinley Park,59,13.813229571984436,9.40766550522648,6.349206349206349,6.620209059233449,5.400696864111499,5.013550135501355,7.878435927216415,6.233062330623306,4.045683313975998,7.413859852884243,9.543166860240031,10.665892373209445,9.620596205962059,4.858691444057298,3.116531165311653,2.9036004645760745,0.9291521486643438,10.660706631559611,16.141081378972505,8.744106300900128,5.694691078317311,8.358336905272182,4.261833323127793,46.13924438185047,48.90426052889324,3.2627326150832516,1.9955925563173358,19.25808031341822,0.0,23.40230166503428,3.1770323212536726
59,Bridgeport,60,11.22833059428511,8.942246330567965,7.211231652839821,6.612954690491385,7.00382897255903,5.863114231014678,6.9719208679004465,4.48308870453095,4.730376515634972,3.5338225909380983,6.932035737077218,9.755902999361837,11.040204211869815,6.604977664326739,3.7970644543714105,3.836949585194639,2.6802807913209956,7.657937564728511,13.36292350939488,7.788134339399319,5.672436750998668,8.504216600088771,3.3229767717117915,53.69137446367805,48.48699136686408,3.017177877957512,0.6099177936886768,34.57674062288223,0.02946462771442883,10.789946669023836,2.4897610418692357
60,New City,61,22.02992704616859,12.414792092706204,7.0126107702794815,11.12815269256987,9.091683708248127,9.577368779822768,8.358895705521473,5.811179277436946,5.811179277436946,2.71813224267212,6.637695978186777,6.876278118609407,7.856169052488071,3.2293796864349007,1.2610770279481935,1.6956373551465576,0.5197682344921609,15.142969248123988,18.617882191377706,10.208936191083428,9.571337485899258,9.684143410662612,3.0138800333513167,33.76085143950169,50.967553489277805,24.26794537886717,0.7618723072803836,1.9837889151230435,0.0,20.25411970888202,1.7647202005695788
61,West Elsdon,62,14.769662315244364,5.863833136560409,5.5096418732782375,3.561589925226289,8.303817394726485,3.8567493112947657,5.745769382133018,9.937032664305391,7.536402990948446,5.135773317591499,9.464777646595829,10.055096418732782,11.1176702085793,7.319952774498228,4.781582054309327,1.2199921290830382,0.5903187721369539,7.569887969846089,11.318186577321747,6.8998010679510005,8.145743901162183,12.359962307611768,6.585697832687678,47.120720343419535,56.002501042100874,1.448520216756982,1.3390996248436848,1.578782826177574,0.0,38.39620675281367,1.2348895373072113
62,Gage Park,63,15.927551586700975,7.113529049476494,5.922808458222131,8.170806815848902,8.201601313898584,8.088688154383084,7.678094847053993,6.733730240197085,5.5840689796756315,6.980086224594539,8.458222130979266,10.470129336891809,9.577088893451037,3.56189694107986,2.1248203654280435,1.0059536029562717,0.3284746458632724,8.27633546615675,14.53752053148979,12.372827339364076,11.88007158441813,13.461302738349145,4.586796106984384,34.88514623323773,42.09261686325906,3.562933838163196,0.29367506431726614,1.014513858550556,0.0,51.684384253191595,1.3518761225183245
63,Clearing,64,10.239291876078314,3.962485345838218,4.25556858147714,5.908558030480656,5.896834701055099,5.1348182883939035,4.185228604923799,5.1582649472450175,2.9425556858147717,3.2825322391559206,8.710433763188746,13.528722157092615,16.846424384525204,10.410316529894489,4.560375146541618,3.798358733880422,1.4185228604923799,3.9505875747001964,6.822283720370594,3.609673926122007,3.613684674928809,6.292864877872699,2.6751694541370874,73.0357357718686,68.70843682397243,0.5888951205832866,0.10415832064738402,1.338033811393318,0.0,22.870763560612133,6.3897123627914425
64,West Lawn,65,13.48499634057087,4.815957681287194,3.9232973330394536,3.4273749173462638,5.796782014547057,5.278818602600838,6.777606347806921,7.163323782234957,6.843729336566012,5.609433546396297,9.466607890676658,10.767026669605466,15.307471897729776,8.265373594886489,3.449415913599295,2.3473661009477627,0.760414370729557,3.964569334147831,10.852168601099573,4.691508857666463,8.472816127061698,11.539401343921808,4.752596212583995,55.72693952351864,49.928242083727746,3.2581147515954685,0.632080368866225,0.5984915569941067,0.0,43.714311887385875,1.868759351430578
