community_area,year,total_reqs,avg_resol_time,median_resol_time,perc_resol_less_than_1,perc_resol_1_min_1_hr,perc_resol_1_hr_12_hr,perc_resol_12_24_hr,perc_resol_1_3_day,perc_resol_3_7_day,perc_resol_7_14_day,perc_resol_14_30_day,perc_resol_1_3_month,perc_resol_3_12_month,perc_resol_1_year_plus,perc_resol_unresolved
29,2021,15982,27098.673654271224,5175.65,0.2335127017895132,0.038042798147916404,0.0628206732574146,0.05418595920410462,0.07933925666374672,0.08359404329871105,0.08647228131648105,0.13302465273432612,0.14259792266299587,0.048742335127017894,0.00012514078338130396,0.03754223501439119
3,2019,8560,81516.50253562945,8882.783333333333,0.07827102803738317,0.05595794392523364,0.060397196261682246,0.06752336448598131,0.13352803738317756,0.11542056074766355,0.0808411214953271,0.08761682242990654,0.13960280373831777,0.12067757009345795,0.04380841121495327,0.016355140186915886
3,2020,9160,49081.84146081294,4045.116666666667,0.16997816593886464,0.04006550218340611,0.06320960698689956,0.09486899563318778,0.1351528384279476,0.10403930131004367,0.08755458515283843,0.08013100436681223,0.09585152838427947,0.08045851528384279,0.02096069868995633,0.027729257641921398
3,2021,8842,23291.77589043865,3683.383333333333,0.11524541958832843,0.0570006785795069,0.07509613209681068,0.1102691698710699,0.14951368468672246,0.12225740782628365,0.07543542185026013,0.08233431350373219,0.10812033476589007,0.03709567971047274,0.00011309658448314861,0.06751866093643973
30,2019,17873,63543.93578555725,6813.633333333333,0.08817769820399485,0.047389917753035304,0.060314440776590386,0.08219101437923124,0.16180831421697534,0.10076651933083422,0.0654618698595647,0.08705869188160913,0.15621328260504672,0.12236334135287864,0.020757567280255133,0.007497342359984334
30,2020,18967,46210.57580811861,3263.05,0.12015606052617704,0.05852269731639163,0.10839879791216323,0.12173775504824168,0.1168345020298413,0.09384720830916855,0.08288079295618705,0.08335530131280645,0.10987504613275689,0.07112353034217325,0.01950756577213054,0.013760742341962355
30,2021,18496,25840.784208432775,2642.5249999999996,0.08331531141868512,0.06006704152249135,0.11921496539792388,0.14749134948096887,0.1337045847750865,0.09969723183391004,0.06568987889273356,0.08423442906574395,0.10029195501730104,0.057688148788927335,5.406574394463668e-05,0.04855103806228374
31,2019,12161,56292.92680422318,4824.725,0.13239042841871557,0.05731436559493463,0.05838335663185593,0.08198338952388784,0.14423155990461312,0.10443220129923526,0.07433599210591234,0.08625935367157306,0.13280157881753146,0.10385659074089301,0.018337307787188555,0.0056738755036592385
31,2020,13185,26282.557163708996,1775.7666666666667,0.19666287447857414,0.060068259385665526,0.10087220326128175,0.10853242320819112,0.1224118316268487,0.10428517254455821,0.08229048160788775,0.08373151308304892,0.08039438756162305,0.04178991277967387,0.006219188471748198,0.01274175199089875
31,2021,14193,18021.90180441378,1690.1083333333333,0.13048685971958007,0.0667230324808004,0.11914323962516733,0.12964137250757415,0.1616994292961319,0.12034101317550905,0.059959134784753045,0.06904812231381667,0.06686394701613471,0.035862749242584376,0.00014091453533431975,0.04009018530261396
